"x","y","z","srv","MOOSE_TOTA"
-133.5417,62.1833,2.16e-05,FALSE,0
-133.4583,62.1833,3.42e-07,FALSE,0
-133.375,62.15,0.000321955,TRUE,0
-133.2917,62.15,3.86e-06,FALSE,0
-133.2083,62.15,6.72e-10,FALSE,0
-133.375,62.1167,0.000430666,FALSE,0
-133.2917,62.1167,0.064317422,FALSE,0
-133.2083,62.1167,0.006499264,FALSE,0
-133.125,62.1167,4.16e-08,FALSE,0
-133.2917,62.0833,0.120438525,FALSE,0
-133.2083,62.0833,0.780154413,TRUE,0
-133.125,62.0833,0.408979097,TRUE,0
-133.0417,62.0833,0.047977978,FALSE,0
-132.9583,62.0833,0.000225159,FALSE,0
-133.2917,62.05,0.093936079,FALSE,0
-133.2083,62.05,0.63007234,FALSE,0
-133.125,62.05,2.349899134,TRUE,0
-133.0417,62.05,1.073744557,TRUE,2
-132.9583,62.05,0.039590046,FALSE,0
-132.875,62.05,2.39e-06,FALSE,0
-133.2917,62.0167,0.178006841,FALSE,0
-133.2083,62.0167,0.549351056,FALSE,0
-133.125,62.0167,1.090314219,TRUE,1
-133.0417,62.0167,1.189390554,FALSE,0
-132.9583,62.0167,0.898298752,TRUE,0
-132.875,62.0167,0.145144479,FALSE,0
-132.7917,62.0167,0.006353061,FALSE,0
-133.2083,61.9833,1.444726578,TRUE,1
-133.125,61.9833,0.621045077,TRUE,0
-133.0417,61.9833,1.743960038,TRUE,0
-132.9583,61.9833,0.494711984,FALSE,0
-132.875,61.9833,0.817729912,TRUE,0
-132.7917,61.9833,0.188202395,FALSE,0
-132.7083,61.9833,3.3e-06,FALSE,0
-132.625,61.9833,5.22e-11,FALSE,0
-133.2083,61.95,2.90747205,TRUE,24
-133.125,61.95,1.249189152,TRUE,4
-133.0417,61.95,1.961711652,TRUE,3
-132.9583,61.95,2.297296159,TRUE,17
-132.875,61.95,1.845330059,TRUE,23
-132.7917,61.95,0.761404416,TRUE,3
-132.7083,61.95,0.042283984,FALSE,0
-132.625,61.95,1.01e-09,FALSE,0
-133.125,61.9167,0.53506966,TRUE,0
-133.0417,61.9167,1.948588597,TRUE,14
-132.9583,61.9167,0.91483336,FALSE,0
-132.875,61.9167,1.028355033,TRUE,5
-132.7917,61.9167,0.819486217,TRUE,2
-132.7083,61.9167,0.189115717,TRUE,0
-132.625,61.9167,0.019939187,FALSE,0
-132.5417,61.9167,8.51e-11,FALSE,0
-133.2083,61.8833,0.906743631,TRUE,0
-133.125,61.8833,0.226772966,FALSE,0
-133.0417,61.8833,0.244942474,FALSE,0
-132.9583,61.8833,0.215031675,FALSE,0
-132.875,61.8833,0.207608139,FALSE,0
-132.7917,61.8833,0.015658596,FALSE,0
-132.7083,61.8833,0.023065562,FALSE,0
-132.625,61.8833,0.082973056,FALSE,0
-132.5417,61.8833,0.150916809,TRUE,0
-132.4583,61.8833,1.92e-10,TRUE,0
-133.4583,61.85,0.27498199,FALSE,0
-133.375,61.85,0.602715562,TRUE,0
-133.2917,61.85,2.100557521,TRUE,6
-133.2083,61.85,1.346419781,TRUE,12
-133.125,61.85,0.759592733,FALSE,0
-133.0417,61.85,0.919124054,FALSE,0
-132.9583,61.85,0.025292174,FALSE,0
-132.875,61.85,0.304843569,FALSE,0
-132.7917,61.85,0.252452076,FALSE,0
-132.7083,61.85,0.663538646,TRUE,0
-132.625,61.85,0.246404657,FALSE,0
-132.5417,61.85,0.905901263,TRUE,0
-132.4583,61.85,0.183844731,FALSE,0
-132.375,61.85,1.9e-09,TRUE,0
-133.4583,61.8167,0.223534052,FALSE,0
-133.375,61.8167,1.035672798,TRUE,0
-133.2917,61.8167,1.189170476,TRUE,0
-133.2083,61.8167,1.306171002,TRUE,4
-133.125,61.8167,1.042411616,TRUE,3
-133.0417,61.8167,0.156931853,FALSE,0
-132.9583,61.8167,0.099483777,FALSE,0
-132.875,61.8167,0.220821681,FALSE,0
-132.7917,61.8167,0.537016224,TRUE,2
-132.7083,61.8167,0.167752408,FALSE,0
-132.625,61.8167,0.088652875,FALSE,0
-132.5417,61.8167,0.63878467,FALSE,0
-132.4583,61.8167,0.685234739,FALSE,0
